"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WDRU9XDV","journalArticle","","","","","","","","","","","2021-04-02 06:31:51","2021-04-02 06:31:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSGKIDNU","journalArticle","2021","García, J. Horacio; Ollero, Alfredo; Ibisate, Askoa; Fuller, Ian C.; Death, Russell G.; Piégay, Hervé","Promoting fluvial geomorphology to “live with rivers” in the Anthropocene Era","Geomorphology","","0169555X","10.1016/j.geomorph.2021.107649","https://linkinghub.elsevier.com/retrieve/pii/S0169555X2100057X","Is geomorphology at the forefront of river management? The aims of this article are to explore potential answers to this question in terms of role, barriers, motivation and prospects for river management in the Anthropocene Era. We justify and execute our analysis, ﬁrst through the growing interest in applied geomorphology and its role to improve river ecology and river policy design; second, by interviewing 24 specialists (researchers (i.e., biologists, ecologists, geomorphologists), engineers, river managers, planners) from different countries. We detected three barriers (academic, management and social) that prevent geomorphology from being more involved in river policy. We then propose three principles for living with rivers, considering geomorphology one of the key factors: (i) working across disciplinary frontiers, (ii) promoting integrated approaches, and (iii) improving ﬂuvial education. Our conclusions look to rivers as natural and dynamic systems where geomorphological knowledge can improve the skills of engineers, ecologists and embrace a transdisciplinary approach. The new riverscape that we propose for the Anthropocene Era must be conceived using negotiation and discussion between an interconnected network of actors, regulators, scientists (sometimes), and natural and cultural values, where management objectives are raised and designed.","2021-05","2021-04-02 06:33:41","2021-04-02 06:33:41","2021-04-02 06:33:41","107649","","","380","","Geomorphology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/edoardodavila/Downloads/1-s2.0-S0169555X2100057X-main.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV9T97N8","journalArticle","2020","Larson, Phillip H.; Dorn, Ronald I.; Skotnicki, Steve J.; Seong, Yeong B.; Jeong, A.; DePonty, Jersy","Impact of drainage integration on basin geomorphology and landform evolution: A case study along the Salt and Verde rivers, Sonoran Desert, USA","Geomorphology","","0169555X","10.1016/j.geomorph.2020.107439","https://linkinghub.elsevier.com/retrieve/pii/S0169555X20304128","The Salt and Verde rivers, Sonoran Desert, USA, integrated multiple endorheic extensional basins near the start of the Quaternary. Integration began via spillover on both rivers. Spillover resulted in headward erosion in upstream basins, leading to basin-wide incision and excavation of large volumes of sediment transported into downstream basins. As a result, the Verde River aggraded to what is now the highest terrace in the lower Verde River valley (LVRV), the Lousley Hills terrace. Evidence suggests deposition of the Lousley Hills terrace ﬁll led to aggradation and backﬁlling of adjacent pediments. Ancestral Salt River Deposits (ASRD) of the combined Salt and Verde rivers deposited an extensive alluvial fan in the Higley Basin, raising local base level for over 2 million years. Eventually, this led to aggradational piracy of the Salt River (~0.46 Ma) that integrated the Higley and Luke basins. Consequently, this shortened and steepened the Salt River, resulting in ~30 m of aggradation downstream and headward incision upstream. Headward incision abandoned the ASRD and created the Sawik stream terrace. Piedmont pediment and alluvial fan systems that were formerly adjusted to the ASRD incised in response. Since abandonment, the ASRD ﬂoodplain has accumulated a sheet of silt and ﬁne sand from aeolian and local ﬂuvial processes. Sedimentary, metamorphic, and granitic pediments that developed in slowly aggrading endorheic basins display evidence of response to base-level adjustments resulting from drainage integration processes. Classic ballena landforms (eroding alluvial fans) began to form in the LVRV only after drainage integration — providing the ﬁrst known maximum age for the ballena form. Drainage integration of the Salt and Verde rivers clearly demonstrates the impact of base-level ﬂuctuations on basin-scale geomorphology. However, integration led to very different geomorphic responses in different extensional basins, revealing the difﬁculty of a one-sizeﬁts-all conceptual model of geomorphic response drainage integration.","2020-12","2021-04-02 06:34:40","2021-04-02 06:34:40","2021-04-02 06:34:40","107439","","","371","","Geomorphology","Impact of drainage integration on basin geomorphology and landform evolution","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/edoardodavila/Downloads/1-s2.0-S0169555X20304128-main.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UN4IBLTW","journalArticle","2020","Benson, Etienne S.","Random river: Luna Leopold and the promise of chance in fluvial geomorphology","Journal of Historical Geography","","03057488","10.1016/j.jhg.2019.10.007","https://linkinghub.elsevier.com/retrieve/pii/S0305748818301774","Luna B. Leopold was a hydrologist and ﬂuvial geomorphologist who headed the Water Resource Division of the U.S. Geological Survey from 1957 to 1966 and was one of the leaders of the postwar quantitative revolution in geomorphology. Like other quantitative geomorphologists of his generation, he turned to numbers partly to strengthen his professional authority in policy debates, particularly those concerning a looming ‘water crisis’ in the United States. This paper traces the traces the evolution of Leopold's thought from the 1950s to the 1970s, when he turned from seeking universal empirical regularities in river processes to arguing that ﬂuvial systems were inherently indeterminate and unpredictable. While this position was largely rejected by Leopold's scientiﬁc colleagues, it was embraced by members of the emerging environmental movement, for whom Leopold's stochastic understanding of rivers provided a seemingly authoritative rationale for the position that complete control and prediction of river systems would always remain out of reach. More broadly, this case shows how quantitative imprecision and uncertainty can sometimes be advantageous for experts seeking to establish authority in a contested policy domain.","2020-01","2021-04-02 06:35:42","2021-04-02 06:35:42","2021-04-02 06:35:42","14-23","","","67","","Journal of Historical Geography","Random river","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/edoardodavila/Downloads/1-s2.0-S0305748818301774-main.pdf; /Users/edoardodavila/Downloads/Lab 8.2.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3D789LQ","journalArticle","","","","","","","","","","","2021-04-02 06:45:49","2021-04-02 06:45:49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNT9KAQ9","journalArticle","2021","García, J. Horacio; Ollero, Alfredo; Ibisate, Askoa; Fuller, Ian C.; Death, Russell G.; Piégay, Hervé","Promoting fluvial geomorphology to “live with rivers” in the Anthropocene Era","Geomorphology","","0169555X","10.1016/j.geomorph.2021.107649","https://linkinghub.elsevier.com/retrieve/pii/S0169555X2100057X","Is geomorphology at the forefront of river management? The aims of this article are to explore potential answers to this question in terms of role, barriers, motivation and prospects for river management in the Anthropocene Era. We justify and execute our analysis, ﬁrst through the growing interest in applied geomorphology and its role to improve river ecology and river policy design; second, by interviewing 24 specialists (researchers (i.e., biologists, ecologists, geomorphologists), engineers, river managers, planners) from different countries. We detected three barriers (academic, management and social) that prevent geomorphology from being more involved in river policy. We then propose three principles for living with rivers, considering geomorphology one of the key factors: (i) working across disciplinary frontiers, (ii) promoting integrated approaches, and (iii) improving ﬂuvial education. Our conclusions look to rivers as natural and dynamic systems where geomorphological knowledge can improve the skills of engineers, ecologists and embrace a transdisciplinary approach. The new riverscape that we propose for the Anthropocene Era must be conceived using negotiation and discussion between an interconnected network of actors, regulators, scientists (sometimes), and natural and cultural values, where management objectives are raised and designed.","2021-05","2021-04-02 06:45:50","2021-04-02 06:45:50","2021-04-02 06:33:41","107649","","","380","","Geomorphology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/edoardodavila/Zotero/storage/97IF5HTP/1-s2.0-S0169555X2100057X-main.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DBQCGXEY","journalArticle","2020","Larson, Phillip H.; Dorn, Ronald I.; Skotnicki, Steve J.; Seong, Yeong B.; Jeong, A.; DePonty, Jersy","Impact of drainage integration on basin geomorphology and landform evolution: A case study along the Salt and Verde rivers, Sonoran Desert, USA","Geomorphology","","0169555X","10.1016/j.geomorph.2020.107439","https://linkinghub.elsevier.com/retrieve/pii/S0169555X20304128","The Salt and Verde rivers, Sonoran Desert, USA, integrated multiple endorheic extensional basins near the start of the Quaternary. Integration began via spillover on both rivers. Spillover resulted in headward erosion in upstream basins, leading to basin-wide incision and excavation of large volumes of sediment transported into downstream basins. As a result, the Verde River aggraded to what is now the highest terrace in the lower Verde River valley (LVRV), the Lousley Hills terrace. Evidence suggests deposition of the Lousley Hills terrace ﬁll led to aggradation and backﬁlling of adjacent pediments. Ancestral Salt River Deposits (ASRD) of the combined Salt and Verde rivers deposited an extensive alluvial fan in the Higley Basin, raising local base level for over 2 million years. Eventually, this led to aggradational piracy of the Salt River (~0.46 Ma) that integrated the Higley and Luke basins. Consequently, this shortened and steepened the Salt River, resulting in ~30 m of aggradation downstream and headward incision upstream. Headward incision abandoned the ASRD and created the Sawik stream terrace. Piedmont pediment and alluvial fan systems that were formerly adjusted to the ASRD incised in response. Since abandonment, the ASRD ﬂoodplain has accumulated a sheet of silt and ﬁne sand from aeolian and local ﬂuvial processes. Sedimentary, metamorphic, and granitic pediments that developed in slowly aggrading endorheic basins display evidence of response to base-level adjustments resulting from drainage integration processes. Classic ballena landforms (eroding alluvial fans) began to form in the LVRV only after drainage integration — providing the ﬁrst known maximum age for the ballena form. Drainage integration of the Salt and Verde rivers clearly demonstrates the impact of base-level ﬂuctuations on basin-scale geomorphology. However, integration led to very different geomorphic responses in different extensional basins, revealing the difﬁculty of a one-sizeﬁts-all conceptual model of geomorphic response drainage integration.","2020-12","2021-04-02 06:45:50","2021-04-02 06:45:50","2021-04-02 06:34:40","107439","","","371","","Geomorphology","Impact of drainage integration on basin geomorphology and landform evolution","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/edoardodavila/Zotero/storage/QECNIC9E/1-s2.0-S0169555X20304128-main.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHZKEPAX","journalArticle","2020","Benson, Etienne S.","Random river: Luna Leopold and the promise of chance in fluvial geomorphology","Journal of Historical Geography","","03057488","10.1016/j.jhg.2019.10.007","https://linkinghub.elsevier.com/retrieve/pii/S0305748818301774","Luna B. Leopold was a hydrologist and ﬂuvial geomorphologist who headed the Water Resource Division of the U.S. Geological Survey from 1957 to 1966 and was one of the leaders of the postwar quantitative revolution in geomorphology. Like other quantitative geomorphologists of his generation, he turned to numbers partly to strengthen his professional authority in policy debates, particularly those concerning a looming ‘water crisis’ in the United States. This paper traces the traces the evolution of Leopold's thought from the 1950s to the 1970s, when he turned from seeking universal empirical regularities in river processes to arguing that ﬂuvial systems were inherently indeterminate and unpredictable. While this position was largely rejected by Leopold's scientiﬁc colleagues, it was embraced by members of the emerging environmental movement, for whom Leopold's stochastic understanding of rivers provided a seemingly authoritative rationale for the position that complete control and prediction of river systems would always remain out of reach. More broadly, this case shows how quantitative imprecision and uncertainty can sometimes be advantageous for experts seeking to establish authority in a contested policy domain.","2020-01","2021-04-02 06:45:51","2021-04-02 06:45:51","2021-04-02 06:35:42","14-23","","","67","","Journal of Historical Geography","Random river","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/edoardodavila/Zotero/storage/SR4NR7DZ/1-s2.0-S0305748818301774-main.pdf; /Users/edoardodavila/Zotero/storage/K9IX8TEI/Lab 8.2.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JFLMC7HK","journalArticle","2016","Ewing, Thomas; Gonzalez, Juan","The Late Quaternary Rio Grande Delta - A Distinctive, Underappreciated Geologic System","Gulf Coast Association of Geologic Societies Transactions","","","","http://archives.datapages.com/data/gcags/data/066/066001/169_gcags660169.htm","The delta of the Rio Grande/Rio Bravo in southernmost Texas and northern Tamaulipas is one of the major deltas of North America. Over 600,000 people live on the Holocene delta and river plain, and a million more on its Pleistocene ancestors, yet geologic knowledge is limited. Combining available geologic information with global satellite photography gives a balanced view of an important delta. The Holocene delta begins at a point west of San Benito, Texas, forming a classic eastward-opening delta. Over half of the delta lies south of the present Rio Grande drainage. The delta passes westward into a floodplain that becomes entrenched into older rocks westward to Roma. In this delta, distributary channels or resacas are extremely sinuous and show a pronounced levee rise. A yazoo stream in the floodplain cuts northward across Pleistocene deposits to form a displaced delta. The delta plain is extensively modified by eolian processes. Erosion of clay-rich algal mats from exposed esteros (large, shallow ephemeral lakes) create complex ‘clay dune‘ deposits that form 6 m (20 ft) high hills (lomitas) on the flat plain. Dominant SE to SSE winds affect sand movement along the transgressive shorelines. Longshore movement is particularly effective on the north side of the delta, less so on the south side. The delta appears to have formed between 8000 and 3000 years BP by a robust, sediment-loaded Rio Grande. This period occurs during the Holocene Climatic Optimum, which was a dry time (altithermal) on the High Plains. Since 3000 years BP, the delta has been much less active and has been transgressed by barrier systems. The delta today is inactive, because of upstream reservoirs built since the 1940s. Before then, the river had irregular high discharge due to tropical systems and contributions from the upper Rio Grande system. The Pleistocene deltas that form the Beaumont surface underlying McAllen, Edinburg, and Harlingen probably exhibit similar landforms.","2016","2021-04-05 03:21:23","2021-04-05 03:25:19","","169-180","","","66","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7SSTE6C","journalArticle","2002","Schmandt, Jurgen","Bi-national Water Issues in the Rio Grande/Rio Bravo Basin","Water Policy","","","","","The Rio Grande (called the Rı́o Bravo in Mexico) is the fifth largest river on the North American continent. The river supports extensive irrigated agriculture as well as rapidly growing cities in three US and five Mexican states. From El Paso, Texas to the Gulf of Mexico, the river marks the international border between Mexico and the United States. Treaties for sharing the water of the Rio Grande between the two countries and arrangements for joint management were concluded in 1906 and 1944. Over time, a complex system of water management institutions has emerged. Water problems are pronounced, due to intensive development in an arid environment. Over the course of the last 40 years, the population in the border communities has doubled every 20 years. Demographic projections predict another doubling of the population by 2030. The entire Rio Grande basin is arid or semi-arid. Development has already led to a severe loss of biodiversity in parts of the basin. Development of new surface water resources is not a realistic option. The principal water management options are as follows: improved efficiency of water use, transfer of agricultural to urban uses of water, conservation and re-use of water, and treatment of brackish groundwater. Up to now, differences in law and levels of development between Mexico and the United States have made it difficult to develop basin-wide management strategies. In addition, regional differences in hydrological conditions argue in favor of developing separate but linked strategies for the sub-basins. This paper presents the key issues in two sub-basins with the largest population centers on the international border—the Paso del Norte (Las Cruces, New Mexico, El Paso, Texas and Ciudad Juárez, Chihuahua), and the Rio Grande Valley (Reynosa–Matamoros on the Mexican side, and MacAllen–Brownsville on the US side). Together, these cities will have 8 million inhabitants by 2030. The paper concludes with suggestions for improving management of river and groundwater in this bi-national growth region.","2002","2021-04-05 03:26:04","2021-04-05 03:30:17","","137-155","","","4","","","","","","","","","","English","","","","","","","","","/Users/edoardodavila/Zotero/storage/I7UUVY2Q/_.pdf; /Users/edoardodavila/Downloads/1-s2.0-S1366701702000077-main.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
