Day,PM 2.5 (µg/m³)_2019,PM 2.5 (µg/m³) _2020,PM 2.5 (µg/m³)_2021
1,17,7.3,3.6
2,9.7,11.1,2
3,5,14.1,5.2
4,9.5,6.8,3.9
5,5.5,3.3,4.4
6,8.6,7.9,9.9
7,7.7,6.2,9.7
8,7.6,4.9,8.3
9,16,7,6.8
10,10.5,10.2,8.3
11,7.6,7.7,9.4
12,9.4,8.6,8.1
13,14.2,10.3,7.4
14,12.8,13,7.4
15,1.8,10.2,6.8
16,2.2,9,10.2
17,5.7,10.5,14.6
18,7.8,13.2,1.7
19,9.1,15.7,5.4
20,7.8,9.6,8.2
21,8.4,9,5.5
22,8.9,11.4,6.9
23,6.2,13.6,15.8
24,7.3,16.4,13.5
25,9.7,12.3,9.2
26,8.6,14.7,8.9
27,8.6,14.9,22.1
28,8.3,13.5,7.1
29,7.9,8,4.5
30,9.2,12.5,8.9
31,4,9,9.9
