March,PM 2.5(µg/m³)_2019,PM 2.5(µg/m³)_2020,PM 2.5(µg/m³)_2021
1,11.4,12.2,13
2,8.5,13.7,5.8
3,10.6,18.2,8.1
4,4.1,12.9,7.8
5,4.9,6.3,5.4
6,4.6,9,13.1
7,6.4,10,11.9
8,8.1,,14.7
9,12.9,12.9,11.9
10,10.5,14,8.9
11,7.5,7.8,16.6
12,8.7,11.5,16.3
13,13.3,12.2,11.4
14,17.1,12.6,14.6
15,7.5,12,15
16,4.4,10.2,13.1
17,6.2,13.4,23.1
18,7.7,14.3,11.4
19,9.9,16.1,6.3
20,11.2,22.6,6.7
21,8.8,17.1,8.1
22,9.7,14.9,10.7
23,8.5,15.2,22.2
24,7.5,17.1,20.6
25,9.8,12.7,19.5
26,7.2,16.4,19.2
27,6.6,15.5,25
28,7.3,22.1,14.5
29,7.2,20.6,11.6
30,14.2,14.1,7.1
31,4.4,14.1,12.2
